id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score
unifai-network,uai,UnifAI Network,0.513661,123067070,238,7158575.0,25.39056,59.30820877749948,239000000.0,0.05816807859324188,0.05816807859324188,1.0,0.8531661357340445,0.03773777329037534,0.526,0.0,0.6879426399124811
sahara-ai,sahara,Sahara AI,0.02717782,78779043,322,136792774.0,16.16124,19.951759730044635,2909166667.0,1.7364107101427977,1.5,0.8127470049993943,0.5905571682570628,1.0,0.358,0.08,0.608846192076925
dexe,dexe,DeXe,6.12,286443531,135,18921123.0,11.73114,41.774746987816194,46752636.689831376,0.06605533360779581,0.06605533360779581,0.7228650317714445,0.7361727481615545,0.04300163758707251,0.732,0.0,0.6063089293810017
river,river,River,25.51,499986665,99,52031447.0,4.45647,39.704955529710915,19600000.0,0.10406566943140373,0.10406566943140373,0.5752697869277229,0.7223619036656419,0.06836930343256122,0.804,0.0,0.5739013775344249
kaspa,kas,Kaspa,0.03923144,1049015251,65,39520078.0,4.3865,28.61979801049935,26777148610.50726,0.03767350185073715,0.03767350185073715,0.5738501707414608,0.6483953278973409,0.024059925852740263,0.872,0.0,0.5568814396599631
quant-network,qnt,Quant,74.02,1076596018,63,38683742.0,6.48127,19.243148890402182,14544176.164081175,0.03593152988979381,0.03593152988979381,0.6163508052776367,0.5858289073126589,0.022897353577070564,0.876,0.0,0.5523024535265142
zano,zano,Zano,8.29,126191787,232,2112557.0,12.59677,31.28983268385711,15204627.93,0.016740843839544012,0.016740843839544012,0.7404277352059742,0.6662113419349073,0.010089707958584434,0.538,0.0,0.5462164252789291
siren-2,siren,Siren,0.841021,608484440,89,27063488.0,-5.89098,49.23191562514527,728213818.6871624,0.04447687766674855,0.04447687766674855,0.36533113455474026,0.7859312859246904,0.028600421499049827,0.824,0.0,0.5226334247047529
official-trump,trump,Official Trump,3.37,782077625,77,153146939.0,-1.79729,22.90053785075524,232498807.465716,0.19582063736959615,0.19582063736959615,0.44838771002335864,0.6102331196282043,0.12960552552544616,0.848,0.0,0.5194829976905164
memecore,m,MemeCore,1.82,3178142410,32,13360626.0,-1.98509,24.035423451967457,1747848253.790784,0.004203910422000252,0.004203910422000252,0.44457744962918944,0.6178057320755181,0.0017227011755014173,0.938,0.0,0.5155165897155862
sun-token,sun,Sun Token,0.01730967,332577745,123,61952928.0,3.56249,8.705149728438839,19221656671.77119,0.18628103934013984,0.18628103934013984,0.5571318924273002,0.5155132882419527,0.12323890629233675,0.756,0.0,0.5063191951819426
