id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket
unifai-network,uai,UnifAI Network,0.510103,122894421,238,7199043.0,24.4263,58.20467789431246,239000000.0,0.05857908716621074,0.05857908716621074,1.0,0.8426358676710146,0.03786908439886272,0.5250501002004008,0.0,0.6846172155331799,High,speculative
sahara-ai,sahara,Sahara AI,0.0273115,79582062,321,138024727.0,17.35293,20.541732738237446,2909166667.0,1.7343698257026816,1.5,0.8574394456693928,0.5923841986289944,1.0,0.3587174348697395,0.08,0.6238393691768519,High,speculative
dexe,dexe,DeXe,6.12,286214939,135,19016917.0,11.8412,41.709206609301795,46752636.689831376,0.06644278270883687,0.06644278270883687,0.7463530350729393,0.7330316080040621,0.043118005463537105,0.7314629258517034,0.0,0.6127962797783366,High,momentum
river,river,River,25.43,499134487,99,51915017.0,4.50908,39.26577705064519,19600000.0,0.10401007814953889,0.10401007814953889,0.5985774922102683,0.7167962253831203,0.06819371793392286,0.8036072144288577,0.0,0.5795799772360997,High,momentum
kaspa,kas,Kaspa,0.03926447,1051390487,65,39518669.0,4.47436,28.728063673334386,26777148610.50726,0.03758705208828849,0.03758705208828849,0.5978777264060818,0.6467783245091869,0.023857156481051623,0.8717434869739479,0.0,0.5639973553640811,Medium,safer
quant-network,qnt,Quant,74.2,1078382399,63,38807958.0,6.74158,19.53465341364446,14544176.164081175,0.035987195299169564,0.035987195299169564,0.6435725140376406,0.5856926539079769,0.022789271546373155,0.875751503006012,0.0,0.5609033701439876,Medium,safer
zano,zano,Zano,8.25,126016370,231,2108328.0,12.2172,30.756945185891265,15204627.93,0.016730588256113076,0.016730588256113076,0.7539311440122861,0.6602592401067808,0.00993572071972184,0.5390781563126252,0.0,0.5489397991080408,High,speculative
official-trump,trump,Official Trump,3.37,782649557,78,153044405.0,-1.76759,22.937706658010757,232498807.465716,0.1955465299011215,0.1955465299011215,0.47207406392215506,0.6083042619676339,0.12929318537642479,0.845691382765531,0.0,0.5259660289662424,Medium,safer
memecore,m,MemeCore,1.82,3189328257,32,13368705.0,-1.79084,24.281237782598385,1747863673.530089,0.004191699292996293,0.004191699292996293,0.47160547074970877,0.6172313627279344,0.001566164949237707,0.9378757515030061,0.0,0.5239402194497511,Low,safer
siren-2,siren,Siren,0.830845,605843714,89,27072608.0,-7.02958,47.426402935295506,728213818.6871624,0.04468579499035621,0.04468579499035621,0.3660210494068517,0.7710195538986772,0.02859548096848817,0.8236472945891784,0.0,0.5183092474719593,High,balanced
sun-token,sun,Sun Token,0.01732871,333015457,123,61341624.0,3.70394,8.824729579555772,19221656671.77119,0.18420053096814662,0.18420053096814662,0.5823502618075401,0.5145304996025456,0.1217198691822456,0.7555110220440882,0.0,0.5137230145207984,Medium,balanced
aethir,ath,Aethir,0.00672786,123501552,236,37679864.0,6.03165,15.960514661053496,18367688543.0,0.3050962792759074,0.3050962792759074,0.6292641978692615,0.5619442671443522,0.20241630974030148,0.5290581162324649,0.0,0.5121943824612165,High,speculative
build-on,b,BUILDon,0.239533,239567977,153,4780074.0,0.54961,32.42410403014493,1000000000.0,0.0199528921179645,0.0199528921179645,0.5187761757153856,0.6713366872263232,0.012086569328441647,0.6953907815631263,0.0,0.508663121188565,Medium,speculative
ripple,xrp,XRP,1.43,87741428735,4,2839788439.0,-0.46707,4.696019176796687,61227832454.0,0.03236542281043584,0.03236542281043584,0.4982854528524727,0.4870972581234214,0.02037178249119237,0.9939879759519038,0.0,0.508045038388613,Low,safer
just,jst,JUST,0.059246,522205327,96,30694390.0,2.07416,12.019959005925601,8815108920.581306,0.05877839312045164,0.05877839312045164,0.5495027873735806,0.5357612210346492,0.03800211869754066,0.8096192384769539,0.0,0.5053334873308887,Medium,balanced
aave,aave,Aave,111.17,1687352010,49,392355624.0,-1.9518,3.27100795681135,15184035.409421552,0.23252742858320358,0.23252742858320358,0.4683613951782266,0.4776287623717711,0.1539774851475405,0.9038076152304609,0.0,0.5016417455412133,Low,safer
fetch-ai,fet,Artificial Superintelligence Alliance,0.203907,460941794,103,104330603.0,-6.29061,28.492520411125245,2260092822.776148,0.22634225049247758,0.22634225049247758,0.38091465356352505,0.6452132558653203,0.1498489540525622,0.7955911823647295,0.0,0.5015477141023312,Medium,balanced
bitcoin-cash,bch,Bitcoin Cash,452.74,9059029287,15,208236323.0,1.01608,-0.7387530222906841,20009778.02165078,0.022986604458694694,0.022986604458694694,0.5281776663455375,0.45098588106438636,0.014111535392184182,0.9719438877755511,0.0,0.5012414714755913,Low,balanced
conflux-token,cfx,Conflux,0.061637,319839053,127,13935012.0,1.33316,18.925274936014535,5189835932.13,0.04356882584941871,0.04356882584941871,0.5345682694904528,0.5816436348927824,0.02784991766168444,0.7474949899799599,0.0,0.5000669198798748,Medium,momentum
sosovalue,soso,SoSoValue,0.434931,135738504,216,3703158.0,5.49399,23.953078658215045,312001548.0,0.027281558959865948,0.027281558959865948,0.6184279051768964,0.615050907422382,0.01697836524728399,0.5691382765531062,0.0,0.4992959629384538,High,speculative
litecoin,ltc,Litecoin,55.03,4236478742,24,369932046.0,-0.75539,1.8751593851933142,76966739.48347135,0.08732064257340254,0.08732064257340254,0.4924744944232374,0.46835403801525094,0.05705372281607358,0.9539078156312625,0.0,0.49914928285315696,Low,safer
tron,trx,TRON,0.299391,28370227026,8,503685375.0,-0.98522,3.421687201470131,94751135203.8969,0.017754012843760315,0.017754012843760315,0.4878423753340616,0.478629951532884,0.010618844175746857,0.9859719438877755,0.0,0.49880432629595445,Low,safer
ethereum,eth,Ethereum,2112.87,254800456650,2,25868305050.0,-2.90766,3.3242611984032386,120691801.1632979,0.10152377821493987,0.10152377821493987,0.4490964717453433,0.477982603860668,0.06653414298864756,0.9979959919839679,0.0,0.49868099625146045,Low,safer
pepe,pepe,Pepe,3.37e-06,1418793413,55,333575576.0,-2.25994,2.957000421088415,420690000000000.0,0.23511215441483024,0.23511215441483024,0.4621509736660714,0.4755423373834756,0.15570275818112775,0.8917835671342685,0.0,0.4969342226876422,Medium,safer
fartcoin,fartcoin,Fartcoin,0.190484,190625074,180,78276530.0,-5.37222,27.571807414327964,999978899.994322,0.41063081764364323,0.41063081764364323,0.3994243861933304,0.6390955727366541,0.272859329626611,0.6412825651302605,0.0,0.49691566776170404,Medium,speculative
solana,sol,Solana,87.41,49953857908,7,3736240575.0,-1.68735,0.7060390458242771,571567794.5638305,0.07479383437973966,0.07479383437973966,0.4736912646170838,0.4605858107822067,0.04869223081216337,0.9879759519038076,0.0,0.4961167398390798,Low,safer
lombard-protocol,bard,Lombard,0.597345,134415685,217,250413849.0,-0.21312,-48.56654928354965,225000000.0,1.862980864175189,1.5,0.5034036995682896,0.13319379679210366,1.0,0.5671342685370742,0.0,0.4944741766068986,High,speculative
dogecoin,doge,Dogecoin,0.092313,14170780208,10,1127242758.0,-1.47541,-1.3535404847281007,153475526383.7052,0.07954697916799416,0.07954697916799416,0.477962818895289,0.44690092201661374,0.05186489710719957,0.9819639278557114,0.0,0.49274684570191485,Low,balanced
