id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
unifai-network,uai,UnifAI Network,0.527678,125466893,231,4817440.0,28.79164,63.655345533621166,239000000.0,0.03839610501871597,0.03839610501871597,1.0,0.8811262178405692,0.02441006478089327,0.5362903225806451,0.0,0.6959897415288605,High,speculative,Explosive 7d momentum | Very strong 24h price expansion | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
sahara-ai,sahara,Sahara AI,0.02726927,79337701,320,138448006.0,16.76243,20.35535558111477,2909166667.0,1.7450468598781304,1.5,0.7835987675653153,0.5950096821781786,1.0,0.35685483870967744,0.08,0.6006254780162901,High,speculative,Strong 7d momentum | Very strong 24h price expansion | Extremely high turnover relative to market cap | Smaller-cap profile | Classified as High risk / speculative
dexe,dexe,DeXe,6.1,285171839,135,20034928.0,11.85942,41.30345994518028,46752636.689831376,0.07025563278006564,0.07025563278006564,0.6953953521590184,0.7334300156682029,0.04567563114366248,0.7298387096774194,0.0,0.5967448729326899,High,momentum,Explosive 7d momentum | Positive 24h continuation | Relatively calm trading activity | Mid-cap profile | Classified as High risk / momentum
river,river,River,25.16,494425966,99,51490399.0,2.6501,37.77657889565452,19600000.0,0.10414177761853227,0.10414177761853227,0.5297229432572378,0.7101251837573761,0.06829392188666043,0.8024193548387096,0.0,0.5553256738768697,Medium,momentum,Strong 7d momentum | Mild positive 24h movement | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Medium risk / momentum
kaspa,kas,Kaspa,0.0390579,1045932329,65,39487658.0,3.64156,28.050821297804422,26777148610.50726,0.03775354954154018,0.03775354954154018,0.5475589579173602,0.6458595783001636,0.023981172480793973,0.8709677419354839,0.0,0.547486899457244,Medium,safer,Strong 7d momentum | Mild positive 24h movement | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
quant-network,qnt,Quant,73.97,1077993072,63,38670013.0,5.66614,19.15275603986343,14544176.164081175,0.03587222775769379,0.03587222775769379,0.5839804358999221,0.5870631765344263,0.022725429660505104,0.875,0.0,0.5420832697871939,Medium,safer,Healthy 7d uptrend | Positive 24h continuation | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
zano,zano,Zano,8.23,125144638,233,2116893.0,12.0689,30.378223804362552,15204627.93,0.016915570925220145,0.016915570925220145,0.6991638232531648,0.6612385274176755,0.010072258938487686,0.532258064516129,0.0,0.530368601178469,High,speculative,Strong 7d momentum | Positive 24h continuation | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
official-trump,trump,Official Trump,3.36,782334729,78,153233740.0,-2.12506,22.786592315204512,232498807.465716,0.19586723472683776,0.19586723472683776,0.44381950412259724,0.6110747443755578,0.12951874009185588,0.844758064516129,0.0,0.5176096507516583,High,speculative,Strong 7d momentum | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as High risk / speculative
memecore,m,MemeCore,1.82,3186375231,32,13258620.0,-2.68141,24.220677645069337,1747863673.530089,0.0041610353579854325,0.0041610353579854325,0.43381096443752765,0.620550855729746,0.0015588740395321168,0.9375,0.0,0.5127653626660484,High,speculative,Strong 7d momentum | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as High risk / speculative
siren-2,siren,Siren,0.828681,603720007,89,27071149.0,-7.64843,47.042409992906,728213818.6871624,0.0448405696119327,0.0448405696119327,0.3444560317754719,0.7713516989710357,0.028711609690978943,0.8225806451612904,0.0,0.5113156586360961,Medium,balanced,Explosive 7d momentum | Heavy 24h weakness | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / balanced
sun-token,sun,Sun Token,0.01740586,334275294,123,61370940.0,4.16661,9.30919800318402,19221656671.77119,0.18359400500594578,0.18359400500594578,0.5570044216751491,0.5220191724333729,0.12132661674746129,0.7540322580645161,0.0,0.5074924092935058,Medium,balanced,Moderately positive 7d trend | Mild positive 24h movement | Healthy liquidity profile | Mid-cap profile | Classified as Medium risk / balanced
fetch-ai,fet,Artificial Superintelligence Alliance,0.205723,464597786,102,102775005.0,-5.18151,29.637006603018044,2260092822.776148,0.22121286001995713,0.22121286001995713,0.38883504987539474,0.6563407318741968,0.14643641321978546,0.7963709677419355,0.0,0.5069621834503338,Medium,balanced,Strong 7d momentum | Heavy 24h weakness | Healthy liquidity profile | Mid-cap profile | Classified as Medium risk / balanced
lombard-protocol,bard,Lombard,0.597338,134174615,217,220830171.0,2.69259,-48.56719604940169,225000000.0,1.645841659392874,1.5,0.530487323325933,0.13958505683379932,1.0,0.5645161290322581,0.0,0.5045346863208899,High,speculative,Negative 7d trend | Mild positive 24h movement | Extremely high turnover relative to market cap | Smaller-cap profile | Classified as High risk / speculative
ripple,xrp,XRP,1.43,87664274171,4,2885043985.0,-0.82364,4.53649257411987,61227832454.0,0.032910145122200696,0.032910145122200696,0.46723158953096133,0.4904822149283315,0.02074830164627567,0.9939516129032258,0.0,0.4991837900053818,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / safer
